date,home,away
06.12. 17:00,Argentina W,France W
06.12. 17:00,Spain W,Germany W
06.12. 17:30,China W,Kazakhstan W
06.12. 19:30,Faroe Islands W,Iceland W
06.12. 19:30,Poland W,Netherlands W
07.12. 14:30,Senegal W,Japan W
07.12. 14:30,South Korea W,Czech Republic W
07.12. 17:00,Angola W,Sweden W
07.12. 17:00,Switzerland W,Romania W
07.12. 19:30,Hungary W,Denmark W
07.12. 19:30,Norway W,Brazil W
08.12. 10:00,Paraguay W,Croatia W
08.12. 12:30,Iran W,Uruguay W
08.12. 14:30,Tunisia W,Argentina W
08.12. 15:00,Kazakhstan W,Egypt W
08.12. 17:00,Poland W,Austria W
08.12. 17:30,China W,Cuba W
08.12. 19:30,France W,Netherlands W
