date,division,game_nr,home,away,home_timediff,away_timediff
2025-11-29,6,1,Angola,South Korea,2,2
2025-11-29,6,2,Brazil,Czech Republic,2,2
2025-11-29,6,3,Romania,Japan,2,2
2025-11-29,6,4,Switzerland,Senegal,2,2
2025-11-29,6,5,Croatia,Denmark,2,2
2025-11-29,6,6,Cuba,Sweden,2,2
2025-11-29,6,7,Iran,Hungary,2,2
2025-11-29,6,8,Kazakhstan,Norway,2,2
2025-11-30,6,9,Faroe Islands,Paraguay,2,2
2025-11-30,6,10,Iceland,Uruguay,2,2
2025-11-30,6,11,Poland,Tunisia,2,2
2025-11-30,6,12,Austria,Argentina,2,2
2025-11-30,6,13,China,France,2,2
2025-11-30,6,14,Germany,Serbia,2,2
2025-11-30,6,15,Montenegro,Spain,2,2
2025-11-30,6,16,Egypt,Netherlands,2,2
2025-12-01,6,17,Czech Republic,Cuba,2,2
2025-12-01,6,18,Japan,Croatia,2,2
2025-12-01,6,19,Senegal,Iran,2,2
2025-12-01,6,20,South Korea,Kazakhstan,2,2
2025-12-01,6,21,Denmark,Romania,2,2
2025-12-01,6,22,Hungary,Switzerland,2,2
2025-12-01,6,23,Norway,Angola,2,2
2025-12-01,6,24,Sweden,Brazil,2,2
2025-12-02,6,25,Argentina,Egypt,2,2
2025-12-02,6,26,Tunisia,China,2,2
2025-12-02,6,27,Netherlands,Austria,2,2
2025-12-02,6,28,France,Poland,2,2
